1	Dinkel Zentrofanmehl (Oberkulmer Rotkorn)	kg	2,099	6,4		2,099	3,30 €	2,5	3	4	0,8394642857	336%	6,2959821429	3	7,5		24,75 €	3,6	3	Tränkl		1000
0	Grünkern Zentrofanmehl	kg						2,5	4	4												1000
1	Emmer Zentrofanmehl	kg	1,084	1,75		1,084	2,85 €	2,5	4	4	0,4335550756	173%	4,3355507559	1	2,5		7,13 €	2,3	7	Chiemgaukorn		1000
1	Einkorn Zentrofanmehl	kg	0,550	0,95		0,550	2,85 €	2,5	4	4	0,2200488998	88%	2,2004889976	0	0	1	0,00 €	0,0	7	Chiemgaukorn		1000
1	Roggen Zentrofanmehl	kg	0,647	2		0,647	2,30 €	2,5	3	4	0,2586757679	103%	1,9400682594	1	2,5		5,75 €	3,9	3	Tränkl		1000
0	Gerste Zentrofanmehl	kg						2,5	4	4												1000
0	Hafer Zentrofanmehl	kg						2,5	4	4												1000
0	Mais Zentrofanmehl	kg						2,5	4	4												1000
1	Braunhirse Zentrofanmehl	kg					6,60 €	2,5	4	4									7	Chiemgaukorn		1000
0	Speisehirse Zentrofanmehl	kg						2,5	4	4												1000
1	Buchweizen Zentrofanmehl	kg		1,1		2,200	5,80 €	5	4	4	0,44	176%	8,8	1	5		29,00 €	2,3	7	Chiemgaukorn		1000
1	Amarant Zentrofanmehl	kg					8,97 €	2	2	4									8	Schwab		1000
0	Quinoa Zentrofanmehl	kg						25	4	4												1000
1	Weizenmehl Type 1050	kg					1,52 €	5	4	6									0		7	1000
1	Weizenmehl Type 550	kg		2,4		4,800		5	4	12	0,96	1152%	19,2	4	20		0	4,2	0		5,7,14	1000
1	Weizenmehl Type 405	kg						5	4	12									0			1000
1	Dinkelmehl Type 1050	kg	1,593	2,5		1,593	2,30 €	3	4	6	0,5311519608	319%	6,3738235294	3	9		20,70 €	5,6	0			1000
1	Dinkelmehl Type 812	kg						5	4	6									0			1000
1	Dinkelmehl Type 630	kg					2,40 €	5	4	12									0			1000
0	Emmerauszugsmehl	kg						5	4	12												1000
0	Einkornauszugsmehl	kg						5	4	12												1000
1	Roggenmehl Type 1150	kg					1,50 €	5	4	6												1000
0	Roggenauszugsmehl	kg						25	4	12												1000
0	Auszugsmehl X	kg						25	4	12												1000
0	Auszugsmehl Y	kg						25	4	12												1000
0	Weizenkleie	kg						5	4													1000
1	Dinkelkleie	kg	0,059	1,7		0,059	1,25 €	5	3	4	0,0118382353	5%	0,1775735294	0	0	1	0,00 €	0,0	4	Lex		1000
0	Kleie X	kg						5	4													1000
0	Kleie Y	kg						5	4													1000
1	Sojamehl vollfett	kg	0,302	0,35		0,302	3,00 €	5	3	4	0,0603571429	24%	0,9053571429	0	0	1	0,00 €	0,0	4	Lex		1000
0	Sojamehl X	kg						5	4													1000
0	Mehl X	kg							4													1000
1	Khorasan Spirelli	kg	0,980			0,980	4,80 €	10	4	24	0,0980423453	235%	3,9216938111	1	10		48,00 €	10,2				1000
1	helle Dinkel-Rilli	kg	1,190	0,4		1,190	4,20 €	10	4	24	0,1189787234	286%	4,7591489362	1	10		42,00 €	8,4	7	Chiemgaukorn		1000
1	mittelhelle Dinkel Rigatoni	kg	0,620	1		0,620	5,40 €	10	3	24	0,0620420168	149%	1,8612605042	1	10		54,00 €	16,1	4	Lex		1000
1	mittelhelle Dinkel Spaghetti	kg	1,061	1		1,061	5,40 €	10	3	24	0,1060830325	255%	3,1824909747	1	10		54,00 €	9,4	4	Lex		1000
1	Vollkorn-Dinkel Spaghetti	kg	2,683	2		2,683	5,40 €	10	3	24	0,2682857143	644%	8,0485714286	1	10		54,00 €	3,7	4	Lex		1000
1	mittelhelle Dinkel Spirelli	kg		1,5		3,000	5,40 €	10	3	24	0,3	720%	9	1	10		54,00 €	3,3	4	Lex		1000
1	Vollkorn-Dinkel Spirelli	kg	1,898	0,05		1,898	5,40 €	10	3	24	0,1898434164	456%	5,6953024911	1	10		54,00 €	5,3	4	Lex		1000
1	mittelhelle Dinkel Bandnudeln	kg	0,917	2,5		0,917	5,40 €	10	3	24	0,0917462687	220%	2,7523880597	1	10		54,00 €	10,9	4	Lex		1000
1	mittelhelle Dinkel Wellenbandnudeln	kg		0,266		0,532	5,40 €	10	3	24	0,0532	128%	1,596	1	10		54,00 €	18,8	4	Lex		1000
1	helle Dinkel Suppennudeln	kg	0,832	1,05		0,832	4,20 €	10	4	24	0,0832236842	200%	3,3289473684	1	10		42,00 €	12,0	7	Chiemgaukorn		1000
1	1050-Dinkel-Braunhirse Spirelli	kg	0,834			0,834	6,00 €	10	3	24	0,0834117647	200%	2,5023529412	1	10		60,00 €	12,0	4	Lex		1000
1	1050-Dinkel-Maroni Spirelli	kg	0,609			0,609	6,00 €	10	3	24	0,0608595825	146%	1,8257874763	1	10		60,00 €	16,4	4	Lex		1000
1	VK-Dinkel+Buchweizen Bandnudeln	kg		2,9		5,800	7,80 €	10	3	24	0,58	1392%	17,4	2	20		156,00 €	3,4	4	Lex		1000
1	mittelhelle Dinkel+Buchw. Spirelli	kg	0,903			0,903	4,80 €	10	4	24	0,0902567237	217%	3,6102689487	1	10		48,00 €	11,1	7	Chiemgaukorn		1000
1	Vollkorn-Einkorn-Bandnudeln	kg	1,649	0,5		1,649	4,80 €	10	4	24	0,1649234043	396%	6,5969361702	1	10		48,00 €	6,1	7	Chiemgaukorn		1000
1	Vollkorn-Einkorn Rigatoni	kg	0,530	0,1		0,530	4,80 €	10	4	24	0,0529559748	127%	2,1182389937	1	10		48,00 €	18,9	7	Chiemgaukorn		1000
1	Vollkorn-Einkorn Spirelli	kg	1,454	1,2		1,454	4,80 €	10	4	24	0,1454285714	349%	5,8171428571	1	10		48,00 €	6,9	7	Chiemgaukorn		1000
1	mittelhelle Dinkel+BW Bandnudeln	kg					4,80 €	10	4	24									7	Chiemgaukorn		1000
1	mittelhelle Dinkel+BW Rigatoni	kg	1,229			1,229	4,80 €	10	4	24	0,1228884026	295%	4,915536105	1	10		48,00 €	8,1	7	Chiemgaukorn		1000
0	Teigwaren a	kg						10	4	24												1000
0	Teigwaren a	kg						10	4	24												1000
0	Teigwaren a	kg						10	4	24												1000
0	Teigwaren a	kg						10	4	24												1000
0	Teigwaren a	kg						10	4	24												1000
0	Teigwaren a	kg						10	4	24												1000
0	Bratöl (HO-Sonnenblume)	l						4,5	4	24												1000
0	Bratöl X	l							4													1000
1	Sonnenblumenöl nativ	l		0,85		1,700	4,31 €	1	4	12	1,7	2040%	6,8	7	7		30,17 €	4,1	13	Jahrstorfer		1000
1	Rapsöl nativ	l		1,083		2,166	6,40 €	0,5	4	10	4,332	4332%	8,664	18	9		57,60 €	4,2	21	Kappelbauer		1000
1	Leindotteröl nativ	l	0,904	0,442		0,904	22,00 €	0,5	4	8	1,8072289157	1446%	3,6144578313	8	4		88,00 €	4,4	7	Chiemgaukorn		1000
1	Sojaöl nativ	l		0,25		0,500	6,00 €	0,5	4	10	1	1000%	2	4	2		12,00 €	4,0	13	Jahrstorfer		1000
1	Hanföl nativ	l	0,440	0,4		0,440	27,00 €	0,5	4	8	0,8793103448	703%	1,7586206897	4	2		54,00 €	4,5	7	Chiemgaukorn		1000
1	Leinöl nativ	l	0,754	1,6		0,754	14,50 €	0,5	4	5	1,5088757396	754%	3,0177514793	7	3,5		50,75 €	4,6	7	Chiemgaukorn		1000
